('Fold : ', 0)
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
Iter 158, Minibatch Loss= 74.493840, Training Accuracy= 0.98000
Iter 159, Minibatch Loss= 116.988647, Training Accuracy= 0.98667
Iter 160, Minibatch Loss= 325.783966, Training Accuracy= 0.98000
Iter 161, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 162, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 163, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 164, Minibatch Loss= 76.971304, Training Accuracy= 0.98667
Iter 165, Minibatch Loss= 11.458698, Training Accuracy= 0.98667
Iter 166, Minibatch Loss= 32.585079, Training Accuracy= 0.98667
Iter 167, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 168, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 169, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 170, Minibatch Loss= 101.043814, Training Accuracy= 0.98000
Iter 171, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 172, Minibatch Loss= 160.692286, Training Accuracy= 0.98667
Iter 173, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 174, Minibatch Loss= 64.089246, Training Accuracy= 0.98667
Iter 175, Minibatch Loss= 115.651054, Training Accuracy= 0.98667
Iter 176, Minibatch Loss= 223.636325, Training Accuracy= 0.98000
Iter 177, Minibatch Loss= 65.388672, Training Accuracy= 0.99333
Iter 178, Minibatch Loss= 110.571381, Training Accuracy= 0.99333
Iter 179, Minibatch Loss= 165.056559, Training Accuracy= 0.98000
Iter 180, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 181, Minibatch Loss= 78.411247, Training Accuracy= 0.98667
Iter 182, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 183, Minibatch Loss= 26.357213, Training Accuracy= 0.99333
Iter 184, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 185, Minibatch Loss= 33.439921, Training Accuracy= 0.99333
Iter 186, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 187, Minibatch Loss= 4.456406, Training Accuracy= 0.99333
Iter 188, Minibatch Loss= 91.272110, Training Accuracy= 0.98667
Iter 189, Minibatch Loss= 107.498932, Training Accuracy= 0.98667
Iter 190, Minibatch Loss= 50.263621, Training Accuracy= 0.99333
Iter 191, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 192, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 193, Minibatch Loss= 25.561798, Training Accuracy= 0.98667
Iter 194, Minibatch Loss= 112.261589, Training Accuracy= 0.98667
Iter 195, Minibatch Loss= 119.327840, Training Accuracy= 0.99333
Iter 196, Minibatch Loss= 114.754761, Training Accuracy= 0.98667
Iter 197, Minibatch Loss= 188.007080, Training Accuracy= 0.99333
Iter 198, Minibatch Loss= 1.035234, Training Accuracy= 0.99333
Iter 199, Minibatch Loss= 38.520103, Training Accuracy= 0.99333

Training complete!
Model saved in file: tempModelsCNNFolds/model3.ckpt
('accuracy : ', 0.57894736842105265)
('precision : ', 0.56491228070175448)
('recall : ', 0.57894736842105265)
('f1 : ', 0.55789473684210511)


('Fold : ', 4)
Iter 0, Minibatch Loss= 118812.203125, Training Accuracy= 0.19333
Iter 1, Minibatch Loss= 81165.354167, Training Accuracy= 0.24000
Iter 2, Minibatch Loss= 77514.369792, Training Accuracy= 0.25333
Iter 3, Minibatch Loss= 58091.677083, Training Accuracy= 0.28667
Iter 4, Minibatch Loss= 46111.868490, Training Accuracy= 0.27333
Iter 5, Minibatch Loss= 44273.604167, Training Accuracy= 0.33333
Iter 6, Minibatch Loss= 39454.664062, Training Accuracy= 0.40000
Iter 7, Minibatch Loss= 32791.264323, Training Accuracy= 0.42000
Iter 8, Minibatch Loss= 32772.897135, Training Accuracy= 0.43333
Iter 9, Minibatch Loss= 31834.246745, Training Accuracy= 0.43333
Iter 10, Minibatch Loss= 21394.266276, Training Accuracy= 0.51333
Iter 11, Minibatch Loss= 24458.441406, Training Accuracy= 0.52667
Iter 12, Minibatch Loss= 16285.106445, Training Accuracy= 0.57333
Iter 13, Minibatch Loss= 15660.666341, Training Accuracy= 0.64000
Iter 14, Minibatch Loss= 14977.563151, Training Accuracy= 0.66000
Iter 15, Minibatch Loss= 17587.710612, Training Accuracy= 0.62000
Iter 16, Minibatch Loss= 13010.936523, Training Accuracy= 0.67333
Iter 17, Minibatch Loss= 10681.259440, Training Accuracy= 0.73333
Iter 18, Minibatch Loss= 13207.807943, Training Accuracy= 0.68000
Iter 19, Minibatch Loss= 10553.193685, Training Accuracy= 0.68000
Iter 20, Minibatch Loss= 7492.198405, Training Accuracy= 0.77333
Iter 21, Minibatch Loss= 8365.907715, Training Accuracy= 0.76667
Iter 22, Minibatch Loss= 6636.582520, Training Accuracy= 0.74667
Iter 23, Minibatch Loss= 6706.078776, Training Accuracy= 0.78000
Iter 24, Minibatch Loss= 6286.831136, Training Accuracy= 0.78000
Iter 25, Minibatch Loss= 4667.928874, Training Accuracy= 0.76000
Iter 26, Minibatch Loss= 6557.229492, Training Accuracy= 0.79333
Iter 27, Minibatch Loss= 3889.190552, Training Accuracy= 0.81333
Iter 28, Minibatch Loss= 2840.675212, Training Accuracy= 0.87333
Iter 29, Minibatch Loss= 4202.275960, Training Accuracy= 0.85333
Iter 30, Minibatch Loss= 1498.689331, Training Accuracy= 0.90000
Iter 31, Minibatch Loss= 2011.415527, Training Accuracy= 0.88000
Iter 32, Minibatch Loss= 1439.422729, Training Accuracy= 0.92667
Iter 33, Minibatch Loss= 2841.429972, Training Accuracy= 0.86667
Iter 34, Minibatch Loss= 2350.200724, Training Accuracy= 0.90000
Iter 35, Minibatch Loss= 1156.203959, Training Accuracy= 0.92667
Iter 36, Minibatch Loss= 1968.075765, Training Accuracy= 0.90000
Iter 37, Minibatch Loss= 1342.092232, Training Accuracy= 0.92000
Iter 38, Minibatch Loss= 2195.749552, Training Accuracy= 0.90667
Iter 39, Minibatch Loss= 1377.802612, Training Accuracy= 0.90667
Iter 40, Minibatch Loss= 1257.268524, Training Accuracy= 0.92667
Iter 41, Minibatch Loss= 932.697001, Training Accuracy= 0.93333
Iter 42, Minibatch Loss= 1459.120402, Training Accuracy= 0.88000
Iter 43, Minibatch Loss= 1531.879903, Training Accuracy= 0.88667
Iter 44, Minibatch Loss= 1672.130474, Training Accuracy= 0.90667
Iter 45, Minibatch Loss= 705.202154, Training Accuracy= 0.94000
Iter 46, Minibatch Loss= 1679.375112, Training Accuracy= 0.92667
Iter 47, Minibatch Loss= 636.847865, Training Accuracy= 0.94667
Iter 48, Minibatch Loss= 1389.492432, Training Accuracy= 0.96000
Iter 49, Minibatch Loss= 475.196869, Training Accuracy= 0.96000
Iter 50, Minibatch Loss= 378.787832, Training Accuracy= 0.97333
Iter 51, Minibatch Loss= 535.481527, Training Accuracy= 0.94667
Iter 52, Minibatch Loss= 1722.139608, Training Accuracy= 0.90000
Iter 53, Minibatch Loss= 806.911682, Training Accuracy= 0.92000
Iter 54, Minibatch Loss= 1120.424032, Training Accuracy= 0.94000
Iter 55, Minibatch Loss= 682.000702, Training Accuracy= 0.94667
Iter 56, Minibatch Loss= 835.529633, Training Accuracy= 0.94000
Iter 57, Minibatch Loss= 431.742849, Training Accuracy= 0.98000
Iter 58, Minibatch Loss= 451.903348, Training Accuracy= 0.96000
Iter 59, Minibatch Loss= 311.547119, Training Accuracy= 0.97333
Iter 60, Minibatch Loss= 695.715225, Training Accuracy= 0.94000
Iter 61, Minibatch Loss= 373.020142, Training Accuracy= 0.97333
Iter 62, Minibatch Loss= 563.593913, Training Accuracy= 0.95333
Iter 63, Minibatch Loss= 310.151388, Training Accuracy= 0.96667
Iter 64, Minibatch Loss= 234.803338, Training Accuracy= 0.96667
Iter 65, Minibatch Loss= 36.196823, Training Accuracy= 0.99333
Iter 66, Minibatch Loss= 392.602651, Training Accuracy= 0.96667
Iter 67, Minibatch Loss= 181.137451, Training Accuracy= 0.97333
Iter 68, Minibatch Loss= 206.010295, Training Accuracy= 0.98667
Iter 69, Minibatch Loss= 88.931298, Training Accuracy= 0.98667
Iter 70, Minibatch Loss= 37.596718, Training Accuracy= 0.99333
Iter 71, Minibatch Loss= 5.851354, Training Accuracy= 0.99333
Iter 72, Minibatch Loss= 90.848256, Training Accuracy= 0.99333
Iter 73, Minibatch Loss= 342.419240, Training Accuracy= 0.96667
Iter 74, Minibatch Loss= 500.235672, Training Accuracy= 0.97333
Iter 75, Minibatch Loss= 105.635167, Training Accuracy= 0.98000
Iter 76, Minibatch Loss= 66.779663, Training Accuracy= 0.98667
Iter 77, Minibatch Loss= 305.984113, Training Accuracy= 0.97333
Iter 78, Minibatch Loss= 519.249496, Training Accuracy= 0.96667
Iter 79, Minibatch Loss= 155.297791, Training Accuracy= 0.99333
Iter 80, Minibatch Loss= 61.374296, Training Accuracy= 0.98667
Iter 81, Minibatch Loss= 182.145597, Training Accuracy= 0.98000
Iter 82, Minibatch Loss= 270.529551, Training Accuracy= 0.98667
Iter 83, Minibatch Loss= 79.029271, Training Accuracy= 0.99333
Iter 84, Minibatch Loss= 470.826340, Training Accuracy= 0.97333
Iter 85, Minibatch Loss= 82.611797, Training Accuracy= 0.98000
Iter 86, Minibatch Loss= 99.674817, Training Accuracy= 0.98667
Iter 87, Minibatch Loss= 222.067469, Training Accuracy= 0.97333
Iter 88, Minibatch Loss= 92.320546, Training Accuracy= 0.98667
Iter 89, Minibatch Loss= 307.178019, Training Accuracy= 0.96667
Iter 90, Minibatch Loss= 399.998779, Training Accuracy= 0.97333
Iter 91, Minibatch Loss= 294.120524, Training Accuracy= 0.97333
Iter 92, Minibatch Loss= 54.541367, Training Accuracy= 0.99333
Iter 93, Minibatch Loss= 128.877472, Training Accuracy= 0.98000
Iter 94, Minibatch Loss= 13.828021, Training Accuracy= 0.99333
Iter 95, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 96, Minibatch Loss= 2.513854, Training Accuracy= 0.99333
Iter 97, Minibatch Loss= 9.617161, Training Accuracy= 0.99333
Iter 98, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 99, Minibatch Loss= 37.179662, Training Accuracy= 0.99333
Iter 100, Minibatch Loss= 71.360962, Training Accuracy= 0.98667
Iter 101, Minibatch Loss= 138.123672, Training Accuracy= 0.98667
Iter 102, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 103, Minibatch Loss= 210.579038, Training Accuracy= 0.98667
Iter 104, Minibatch Loss= 172.529358, Training Accuracy= 0.98000
Iter 105, Minibatch Loss= 22.842369, Training Accuracy= 0.99333
Iter 106, Minibatch Loss= 199.422770, Training Accuracy= 0.98667
Iter 107, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 108, Minibatch Loss= 95.345907, Training Accuracy= 0.98667
Iter 109, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 110, Minibatch Loss= 35.432838, Training Accuracy= 0.98667
Iter 111, Minibatch Loss= 293.052673, Training Accuracy= 0.98000
Iter 112, Minibatch Loss= 81.836848, Training Accuracy= 0.99333
Iter 113, Minibatch Loss= 175.381327, Training Accuracy= 0.99333
Iter 114, Minibatch Loss= 14.535937, Training Accuracy= 0.99333
Iter 115, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 116, Minibatch Loss= 484.838868, Training Accuracy= 0.96000
Iter 117, Minibatch Loss= 148.119008, Training Accuracy= 0.98667
Iter 118, Minibatch Loss= 101.658412, Training Accuracy= 0.98000
Iter 119, Minibatch Loss= 120.636637, Training Accuracy= 0.99333
Iter 120, Minibatch Loss= 8.359323, Training Accuracy= 0.99333
Iter 121, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 122, Minibatch Loss= 74.910675, Training Accuracy= 0.99333
Iter 123, Minibatch Loss= 0.096823, Training Accuracy= 0.99333
Iter 124, Minibatch Loss= 52.861954, Training Accuracy= 0.98667
Iter 125, Minibatch Loss= 39.474688, Training Accuracy= 0.99333
Iter 126, Minibatch Loss= 8.992865, Training Accuracy= 0.99333
Iter 127, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 128, Minibatch Loss= 30.179662, Training Accuracy= 0.99333
Iter 129, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 130, Minibatch Loss= 437.865214, Training Accuracy= 0.96000
Iter 131, Minibatch Loss= 78.327342, Training Accuracy= 0.99333
Iter 132, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 133, Minibatch Loss= 104.699320, Training Accuracy= 0.98667
Iter 134, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 135, Minibatch Loss= 32.428228, Training Accuracy= 0.98667
Iter 136, Minibatch Loss= 117.265025, Training Accuracy= 0.99333
Iter 137, Minibatch Loss= 94.166044, Training Accuracy= 0.98667
Iter 138, Minibatch Loss= 29.267265, Training Accuracy= 0.99333
Iter 139, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 140, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 141, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 142, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 143, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 144, Minibatch Loss= 65.437134, Training Accuracy= 0.98667
Iter 145, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 146, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 147, Minibatch Loss= 35.543386, Training Accuracy= 0.99333
Iter 148, Minibatch Loss= 184.391129, Training Accuracy= 0.98000
Iter 149, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 150, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 151, Minibatch Loss= 189.870265, Training Accuracy= 0.98667
Iter 152, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 153, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 154, Minibatch Loss= 146.394394, Training Accuracy= 0.98000
Iter 155, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 156, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 157, Minibatch Loss= 31.985209, Training Accuracy= 0.99333
Iter 158, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 159, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 160, Minibatch Loss= 30.589531, Training Accuracy= 0.99333
Iter 161, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 162, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 163, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 164, Minibatch Loss= 68.099269, Training Accuracy= 0.99333
Iter 165, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 166, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 167, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 168, Minibatch Loss= 153.650053, Training Accuracy= 0.98667
Iter 169, Minibatch Loss= 51.035339, Training Accuracy= 0.99333
Iter 170, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 171, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 172, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 173, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 174, Minibatch Loss= 213.447759, Training Accuracy= 0.97333
Iter 175, Minibatch Loss= 16.604584, Training Accuracy= 0.99333
Iter 176, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 177, Minibatch Loss= 52.798126, Training Accuracy= 0.99333
Iter 178, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 179, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 180, Minibatch Loss= 195.376709, Training Accuracy= 0.99333
Iter 181, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 182, Minibatch Loss= 69.403464, Training Accuracy= 0.98667
Iter 183, Minibatch Loss= 72.436643, Training Accuracy= 0.98667
Iter 184, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 185, Minibatch Loss= 37.593088, Training Accuracy= 0.98667
Iter 186, Minibatch Loss= 21.712903, Training Accuracy= 0.99333
Iter 187, Minibatch Loss= 156.657448, Training Accuracy= 0.98000
Iter 188, Minibatch Loss= 82.100314, Training Accuracy= 0.98000
Iter 189, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 190, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 191, Minibatch Loss= 75.869556, Training Accuracy= 0.98000
Iter 192, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 193, Minibatch Loss= 163.922190, Training Accuracy= 0.99333
Iter 194, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 195, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 196, Minibatch Loss= 107.425496, Training Accuracy= 0.99333
Iter 197, Minibatch Loss= 252.712535, Training Accuracy= 0.98000
Iter 198, Minibatch Loss= 87.255351, Training Accuracy= 0.99333
Iter 199, Minibatch Loss= 0.000000, Training Accuracy= 1.00000

Training complete!
Model saved in file: tempModelsCNNFolds/model4.ckpt
('accuracy : ', 0.94444444444444442)
('precision : ', 0.95555555555555549)
('recall : ', 0.94444444444444442)
('f1 : ', 0.94444444444444442)


('Fold : ', 5)
Iter 0, Minibatch Loss= 201238.848958, Training Accuracy= 0.17333
Iter 1, Minibatch Loss= 107320.708333, Training Accuracy= 0.24667
Iter 2, Minibatch Loss= 110792.755208, Training Accuracy= 0.24000
Iter 3, Minibatch Loss= 92130.510417, Training Accuracy= 0.32667
Iter 4, Minibatch Loss= 77666.609375, Training Accuracy= 0.32667
Iter 5, Minibatch Loss= 60246.460938, Training Accuracy= 0.38000
Iter 6, Minibatch Loss= 50772.802083, Training Accuracy= 0.45333
Iter 7, Minibatch Loss= 53731.730469, Training Accuracy= 0.41333
Iter 8, Minibatch Loss= 37359.951172, Training Accuracy= 0.53333
Iter 9, Minibatch Loss= 57453.221354, Training Accuracy= 0.36000
Iter 10, Minibatch Loss= 38426.393229, Training Accuracy= 0.46000
Iter 11, Minibatch Loss= 33433.139974, Training Accuracy= 0.46000
Iter 12, Minibatch Loss= 33205.872396, Training Accuracy= 0.56000
Iter 13, Minibatch Loss= 25644.785156, Training Accuracy= 0.66000
Iter 14, Minibatch Loss= 22444.084961, Training Accuracy= 0.58000
Iter 15, Minibatch Loss= 27418.055339, Training Accuracy= 0.56667
Iter 16, Minibatch Loss= 22600.412109, Training Accuracy= 0.64667
Iter 17, Minibatch Loss= 28399.851562, Training Accuracy= 0.58000
Iter 18, Minibatch Loss= 17426.891276, Training Accuracy= 0.67333
Iter 19, Minibatch Loss= 17881.867188, Training Accuracy= 0.64667
Iter 20, Minibatch Loss= 12087.036784, Training Accuracy= 0.74667
Iter 21, Minibatch Loss= 14161.007812, Training Accuracy= 0.72000
Iter 22, Minibatch Loss= 8715.293132, Training Accuracy= 0.80667
Iter 23, Minibatch Loss= 9328.994141, Training Accuracy= 0.76000
Iter 24, Minibatch Loss= 9767.469564, Training Accuracy= 0.74667
Iter 25, Minibatch Loss= 8497.707194, Training Accuracy= 0.81333
Iter 26, Minibatch Loss= 8437.191569, Training Accuracy= 0.80000
Iter 27, Minibatch Loss= 7510.355469, Training Accuracy= 0.80667
Iter 28, Minibatch Loss= 6942.969564, Training Accuracy= 0.84667
Iter 29, Minibatch Loss= 6727.983398, Training Accuracy= 0.82667
Iter 30, Minibatch Loss= 3173.306478, Training Accuracy= 0.83333
Iter 31, Minibatch Loss= 3099.642822, Training Accuracy= 0.88000
Iter 32, Minibatch Loss= 4327.248698, Training Accuracy= 0.86000
Iter 33, Minibatch Loss= 6758.957031, Training Accuracy= 0.82000
Iter 34, Minibatch Loss= 5515.401693, Training Accuracy= 0.84667
Iter 35, Minibatch Loss= 5889.535400, Training Accuracy= 0.82000
Iter 36, Minibatch Loss= 3949.942871, Training Accuracy= 0.83333
Iter 37, Minibatch Loss= 4317.634928, Training Accuracy= 0.84667
Iter 38, Minibatch Loss= 3614.071960, Training Accuracy= 0.87333
Iter 39, Minibatch Loss= 5634.736816, Training Accuracy= 0.81333
Iter 40, Minibatch Loss= 5697.447184, Training Accuracy= 0.84000
Iter 41, Minibatch Loss= 2486.465658, Training Accuracy= 0.92000
Iter 42, Minibatch Loss= 2256.586751, Training Accuracy= 0.88667
Iter 43, Minibatch Loss= 2565.427612, Training Accuracy= 0.87333
Iter 44, Minibatch Loss= 4669.422770, Training Accuracy= 0.80000
Iter 45, Minibatch Loss= 1611.628148, Training Accuracy= 0.92000
Iter 46, Minibatch Loss= 2971.016805, Training Accuracy= 0.88667
Iter 47, Minibatch Loss= 1620.905619, Training Accuracy= 0.94000
Iter 48, Minibatch Loss= 2425.304769, Training Accuracy= 0.89333
Iter 49, Minibatch Loss= 1486.512980, Training Accuracy= 0.93333
Iter 50, Minibatch Loss= 1187.845825, Training Accuracy= 0.93333
Iter 51, Minibatch Loss= 1570.695048, Training Accuracy= 0.95333
Iter 52, Minibatch Loss= 1482.010773, Training Accuracy= 0.93333
Iter 53, Minibatch Loss= 1528.087036, Training Accuracy= 0.94000
Iter 54, Minibatch Loss= 630.987386, Training Accuracy= 0.95333
Iter 55, Minibatch Loss= 938.548523, Training Accuracy= 0.94000
Iter 56, Minibatch Loss= 865.170329, Training Accuracy= 0.94667
Iter 57, Minibatch Loss= 820.467763, Training Accuracy= 0.95333
Iter 58, Minibatch Loss= 1180.108704, Training Accuracy= 0.94000
Iter 59, Minibatch Loss= 1177.157328, Training Accuracy= 0.95333
Iter 60, Minibatch Loss= 689.060318, Training Accuracy= 0.97333
Iter 61, Minibatch Loss= 1258.191182, Training Accuracy= 0.94000
Iter 62, Minibatch Loss= 1213.222616, Training Accuracy= 0.95333
Iter 63, Minibatch Loss= 2102.505697, Training Accuracy= 0.92000
Iter 64, Minibatch Loss= 659.347895, Training Accuracy= 0.96667
Iter 65, Minibatch Loss= 1057.501302, Training Accuracy= 0.95333
Iter 66, Minibatch Loss= 1028.667562, Training Accuracy= 0.94000
Iter 67, Minibatch Loss= 1210.979736, Training Accuracy= 0.95333
Iter 68, Minibatch Loss= 1028.617442, Training Accuracy= 0.94000
Iter 69, Minibatch Loss= 634.712240, Training Accuracy= 0.96667
Iter 70, Minibatch Loss= 1242.102145, Training Accuracy= 0.94000
Iter 71, Minibatch Loss= 99.218801, Training Accuracy= 0.98667
Iter 72, Minibatch Loss= 1093.618530, Training Accuracy= 0.94000
Iter 73, Minibatch Loss= 2073.908651, Training Accuracy= 0.92000
Iter 74, Minibatch Loss= 414.957692, Training Accuracy= 0.96667
Iter 75, Minibatch Loss= 1293.344910, Training Accuracy= 0.92667
Iter 76, Minibatch Loss= 370.908383, Training Accuracy= 0.96667
Iter 77, Minibatch Loss= 687.452581, Training Accuracy= 0.96000
Iter 78, Minibatch Loss= 38.688150, Training Accuracy= 0.98667
Iter 79, Minibatch Loss= 441.814331, Training Accuracy= 0.97333
Iter 80, Minibatch Loss= 15.013646, Training Accuracy= 0.99333
Iter 81, Minibatch Loss= 688.561005, Training Accuracy= 0.94667
Iter 82, Minibatch Loss= 282.266042, Training Accuracy= 0.96667
Iter 83, Minibatch Loss= 430.318649, Training Accuracy= 0.94667
Iter 84, Minibatch Loss= 480.374425, Training Accuracy= 0.97333
Iter 85, Minibatch Loss= 107.041351, Training Accuracy= 0.98667
Iter 86, Minibatch Loss= 245.327189, Training Accuracy= 0.98000
Iter 87, Minibatch Loss= 698.346659, Training Accuracy= 0.96000
Iter 88, Minibatch Loss= 572.686727, Training Accuracy= 0.96667
Iter 89, Minibatch Loss= 444.567037, Training Accuracy= 0.98000
Iter 90, Minibatch Loss= 270.956045, Training Accuracy= 0.97333
Iter 91, Minibatch Loss= 348.958181, Training Accuracy= 0.97333
Iter 92, Minibatch Loss= 82.262346, Training Accuracy= 0.98667
Iter 93, Minibatch Loss= 304.369375, Training Accuracy= 0.97333
Iter 94, Minibatch Loss= 264.126027, Training Accuracy= 0.96000
Iter 95, Minibatch Loss= 8.035261, Training Accuracy= 0.99333
Iter 96, Minibatch Loss= 92.525159, Training Accuracy= 0.98000
Iter 97, Minibatch Loss= 59.921705, Training Accuracy= 0.98000
Iter 98, Minibatch Loss= 198.085551, Training Accuracy= 0.98000
Iter 99, Minibatch Loss= 235.073532, Training Accuracy= 0.98667
Iter 100, Minibatch Loss= 135.686455, Training Accuracy= 0.98667
Iter 101, Minibatch Loss= 209.572971, Training Accuracy= 0.98000
Iter 102, Minibatch Loss= 309.536382, Training Accuracy= 0.96667
Iter 103, Minibatch Loss= 263.966156, Training Accuracy= 0.98000
Iter 104, Minibatch Loss= 379.981985, Training Accuracy= 0.95333
Iter 105, Minibatch Loss= 23.510468, Training Accuracy= 0.98667
Iter 106, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 107, Minibatch Loss= 56.377085, Training Accuracy= 0.99333
Iter 108, Minibatch Loss= 190.534953, Training Accuracy= 0.98000
Iter 109, Minibatch Loss= 225.559143, Training Accuracy= 0.98667
Iter 110, Minibatch Loss= 42.538282, Training Accuracy= 0.99333
Iter 111, Minibatch Loss= 212.480672, Training Accuracy= 0.99333
Iter 112, Minibatch Loss= 82.306249, Training Accuracy= 0.99333
Iter 113, Minibatch Loss= 201.735840, Training Accuracy= 0.99333
Iter 114, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 115, Minibatch Loss= 93.853933, Training Accuracy= 0.99333
Iter 116, Minibatch Loss= 28.396406, Training Accuracy= 0.99333
Iter 117, Minibatch Loss= 70.428075, Training Accuracy= 0.99333
Iter 118, Minibatch Loss= 5.048333, Training Accuracy= 0.99333
Iter 119, Minibatch Loss= 31.612292, Training Accuracy= 0.99333
Iter 120, Minibatch Loss= 224.029793, Training Accuracy= 0.98667
Iter 121, Minibatch Loss= 62.223541, Training Accuracy= 0.99333
Iter 122, Minibatch Loss= 299.446116, Training Accuracy= 0.96667
Iter 123, Minibatch Loss= 68.386927, Training Accuracy= 0.99333
Iter 124, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 125, Minibatch Loss= 165.013804, Training Accuracy= 0.98000
Iter 126, Minibatch Loss= 377.421672, Training Accuracy= 0.98000
Iter 127, Minibatch Loss= 146.958130, Training Accuracy= 0.99333
Iter 128, Minibatch Loss= 60.399790, Training Accuracy= 0.99333
Iter 129, Minibatch Loss= 226.931458, Training Accuracy= 0.99333
Iter 130, Minibatch Loss= 327.197021, Training Accuracy= 0.98000
Iter 131, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 132, Minibatch Loss= 259.374409, Training Accuracy= 0.98667
Iter 133, Minibatch Loss= 57.994481, Training Accuracy= 0.99333
Iter 134, Minibatch Loss= 30.780626, Training Accuracy= 0.98667
Iter 135, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 136, Minibatch Loss= 199.223857, Training Accuracy= 0.98000
Iter 137, Minibatch Loss= 113.214476, Training Accuracy= 0.98000
Iter 138, Minibatch Loss= 19.723464, Training Accuracy= 0.99333
Iter 139, Minibatch Loss= 66.641764, Training Accuracy= 0.99333
Iter 140, Minibatch Loss= 74.575002, Training Accuracy= 0.98667
